Object Name,Form ID,Editor ID,Category
Agarmir's House,0002C1AA,ICTalosPlazaAgarmirsHouse,CELL
Agarmir's Private Quarters,00037D07,ICTalosPlazaAgarmirsHouseUpstairs,CELL
Ahallaraddon Egg Mine,0148005E,AhallaraddonSEggSMine,CELL
Ahanibi-Malmus Egg Mine,0148005F,AhanibiTMalmusSEggSMine,CELL
"Aharasaplit Camp, Zallay's Yurt",01480060,AharasaplitSCampVSZallayAsSYurt,CELL
Aharnabi,01480061,Aharnabi,CELL
Aharunartus,01480062,Aharunartus,CELL
Ahdarji's House,00030528,LeyawiinAhdarjisHouse,CELL
Ahdarji's House 2nd Floor East,0003E0EA,LeyawiinAhdarjisHouse2ndFloorEast,CELL
Ahdarji's House 2nd Floor West,0003E0E9,LeyawiinAhdarjisHouse2ndFloorWest,CELL
Ahemmusa Camp,0148000F,AhemmusaSCamp,CELL
"Ahemmusa Camp, Addammus's Yurt",01480063,AhemmusaSCampVSAddammusAsSYurt,CELL
"Ahemmusa Camp, Ashkhan's Yurt",01480064,AhemmusaSCampVSAshkhanAsSYurt,CELL
"Ahemmusa Camp, Assamma-Idan's Yurt",01480065,AhemmusaSCampVSAssammaTIdanAsSYurt,CELL
"Ahemmusa Camp, Dutadalk's Yurt",01480066,AhemmusaSCampVSDutadalkAsSYurt,CELL
"Ahemmusa Camp, Kausi's Yurt",01480067,AhemmusaSCampVSKausiAsSYurt,CELL
"Ahemmusa Camp, Lanabi's Yurt",01480068,AhemmusaSCampVSLanabiAsSYurt,CELL
"Ahemmusa Camp, Mamaea's Yurt",01480069,AhemmusaSCampVSMamaeaAsSYurt,CELL
"Ahemmusa Camp, Nummu's Yurt",0148006A,AhemmusaSCampVSNummuAsSYurt,CELL
"Ahemmusa Camp, Wise Woman's Yurt",0148006B,AhemmusaSCampVSWiseSWomanAsSYurt,CELL
Ahinipalit,0148006C,Ahinipalit,CELL
AI Testing Warehouse,00023D30,WarehouseAI,CELL
Aichan Prison,00010360,XPAichan01,CELL
"Aidanat Camp, Abassel's Yurt",0148006D,AidanatSCampVSAbasselAsSYurt,CELL
Ainab,0148006E,Ainab,CELL
"Ainab, Shrine",0148006F,AinabVSShrine,CELL
Ainat,01480070,Ainat,CELL
Akimaes Grotto,01480071,AkimaesSGrotto,CELL
Akimaes-Ilanipu Egg Mine,01480072,AkimaesTIlanipuSEggSMine,CELL
Akulakhan's Chamber,01480073,AkulakhanAsSChamber,CELL
Alas Ancestral Tomb,01480074,AlasSAncestralSTomb,CELL
Alberic Litte's Basement,0002576D,ChorrolAlbericLittesBasement,CELL
Alberic Litte's House,00000826,ChorrolAlbericLittesHouse,CELL
Alchemy Test Warehouse,0009FDA2,TestAlchemyInterior,CELL
Ald Daedroth,0148000E,AldSDaedroth,CELL
"Ald Daedroth, Antechamber",01480075,AldSDaedrothVSAntechamber,CELL
"Ald Daedroth, Inner Shrine",01480076,AldSDaedrothVSInnerSShrine,CELL
"Ald Daedroth, Left Wing",01480077,AldSDaedrothVSLeftSWing,CELL
"Ald Daedroth, Outer Shrine",01480078,AldSDaedrothVSOuterSShrine,CELL
"Ald Daedroth, Right Wing",01480079,AldSDaedrothVSRightSWing,CELL
Ald Redaynia,01480041,AldSRedaynia,CELL
"Ald Redaynia, Tower",0148007A,AldSRedayniaVSTower,CELL
Ald Sotha,0148001F,AldSSotha,CELL
"Ald Sotha, Lower Level",0148007B,AldSSothaVSLowerSLevel,CELL
"Ald Sotha, Shrine",0148007C,AldSSothaVSShrine,CELL
"Ald Sotha, Upper Level",0148007D,AldSSothaVSUpperSLevel,CELL
Ald Velothi,01480050,AldSVelothi,CELL
"Ald Velothi, Fevila Bethrano's Shack",0148007E,AldSVelothiVSFevilaSBethranoAsSShack,CELL
"Ald Velothi, Ganus Lloryn's Shack",0148007F,AldSVelothiVSGanusSLlorynAsSShack,CELL
"Ald Velothi, Ienas Arvel's Shack",01480080,AldSVelothiVSIenasSArvelAsSShack,CELL
"Ald Velothi, Lledsea Relas's Shack",01480081,AldSVelothiVSLledseaSRelasAsSShack,CELL
"Ald Velothi, Llerar Vinden's Shack",01480082,AldSVelothiVSLlerarSVindenAsSShack,CELL
"Ald Velothi, Outpost",01480083,AldSVelothiVSOutpost,CELL
"Ald Velothi, Sathas Rivul's Shack",01480084,AldSVelothiVSSathasSRivulAsSShack,CELL
"Ald Velothi, Vireveri Darethran's Shack",01480085,AldSVelothiVSVireveriSDarethranAsSShack,CELL
Aldos Othran's House,00030419,CheydinhalAldosOthransHouse,CELL
Ald-ruhn,0148003B,AldTruhn,CELL
"Ald-ruhn, Ald Skar Inn",01480086,AldTruhnVSAldSSkarSInn,CELL
"Ald-ruhn, Arobar Guard Quarters",01480087,AldTruhnVSArobarSGuardSQuarters,CELL
"Ald-ruhn, Arobar Manor Bedrooms",01480088,AldTruhnVSArobarSManorSBedrooms,CELL
"Ald-ruhn, Arobar Manor Entrance",01480089,AldTruhnVSArobarSManorSEntrance,CELL
"Ald-ruhn, Arobar Private Quarters",0148008A,AldTruhnVSArobarSPrivateSQuarters,CELL
"Ald-ruhn, Aryni Orethi's House",0148008B,AldTruhnVSAryniSOrethiAsSHouse,CELL
"Ald-ruhn, Bevene Releth: Clothier",0148008C,AldTruhnVSBeveneSRelethXSClothier,CELL
"Ald-ruhn, Bivale Teneran: Clothier",0148008D,AldTruhnVSBivaleSTeneranXSClothier,CELL
"Ald-ruhn, Boldrisa Andrano's House",0148008E,AldTruhnVSBoldrisaSAndranoAsSHouse,CELL
"Ald-ruhn, Braynas Hlervu's House",0148008F,AldTruhnVSBraynasSHlervuAsSHouse,CELL
"Ald-ruhn, Cienne Sintieve: Alchemist",01480090,AldTruhnVSCienneSSintieveXSAlchemist,CELL
"Ald-ruhn, Codus Callonus: Bookseller",01480091,AldTruhnVSCodusSCallonusXSBookseller,CELL
"Ald-ruhn, Council Club",01480092,AldTruhnVSCouncilSClub,CELL
"Ald-ruhn, Council Hostel",01480093,AldTruhnVSCouncilSHostel,CELL
"Ald-ruhn, Dandera Selaro: Smith",01480094,AldTruhnVSDanderaSSelaroXSSmith,CELL
"Ald-ruhn, Daynes Redothril: Pawnbroker",01480095,AldTruhnVSDaynesSRedothrilXSPawnbroker,CELL
"Ald-ruhn, Dravasa Andrethi's House",01480096,AldTruhnVSDravasaSAndrethiAsSHouse,CELL
"Ald-ruhn, Drinar Varyon's House",01480097,AldTruhnVSDrinarSVaryonAsSHouse,CELL
"Ald-ruhn, Galsa Gindu's House",01480098,AldTruhnVSGalsaSGinduAsSHouse,CELL
"Ald-ruhn, Galthragoth's House",01480099,AldTruhnVSGalthragothAsSHouse,CELL
"Ald-ruhn, Gildan's House",0148009A,AldTruhnVSGildanAsSHouse,CELL
"Ald-ruhn, Gindrala Hleran's House",0148009B,AldTruhnVSGindralaSHleranAsSHouse,CELL
"Ald-ruhn, Goras Andrelo's House",0148009C,AldTruhnVSGorasSAndreloAsSHouse,CELL
"Ald-ruhn, Guard Tower",0148009D,AldTruhnVSGuardSTowerS1,CELL
"Ald-ruhn, Guard Tower",0148009E,AldTruhnVSGuardSTowerS2,CELL
"Ald-ruhn, Guild of Fighters",0148009F,AldTruhnVSGuildSofSFighters,CELL
"Ald-ruhn, Guild of Mages",014800A0,AldTruhnVSGuildSofSMages,CELL
"Ald-ruhn, Guls Llervu's House",014800A1,AldTruhnVSGulsSLlervuAsSHouse,CELL
"Ald-ruhn, Hanarai Assutlanipal's House",014800A2,AldTruhnVSHanaraiSAssutlanipalAsSHouse,CELL
"Ald-ruhn, Ienas Sarandas's House",014800A3,AldTruhnVSIenasSSarandasAsSHouse,CELL
"Ald-ruhn, Ilmiril's House",014800A4,AldTruhnVSIlmirilAsSHouse,CELL
"Ald-ruhn, Llether Vari: Enchanter",014800A5,AldTruhnVSLletherSVariXSEnchanter,CELL
"Ald-ruhn, Llethri Guard Quarters",014800A6,AldTruhnVSLlethriSGuardSQuarters,CELL
"Ald-ruhn, Llethri Manor Bedrooms",014800A7,AldTruhnVSLlethriSManorSBedrooms,CELL
"Ald-ruhn, Llethri Manor Entrance",014800A8,AldTruhnVSLlethriSManorSEntrance,CELL
"Ald-ruhn, Llethri Private Quarters",014800A9,AldTruhnVSLlethriSPrivateSQuarters,CELL
"Ald-ruhn, Malpenix Blonia: Trader",014800AA,AldTruhnVSMalpenixSBloniaXSTrader,CELL
"Ald-ruhn, Manor District",014800AB,AldTruhnVSManorSDistrict,CELL
"Ald-ruhn, Morag Tong Guildhall",014800AC,AldTruhnVSMoragSTongSGuildhall,CELL
"Ald-ruhn, Morvayn Quarters",014800AD,AldTruhnVSMorvaynSQuarters,CELL
"Ald-ruhn, Pellecia Aurrus's House",014800AE,AldTruhnVSPelleciaSAurrusAsSHouse,CELL
"Ald-ruhn, Practice Room",014800AF,AldTruhnVSPracticeSRoom,CELL
"Ald-ruhn, Ramoran Manor",014800B0,AldTruhnVSRamoranSManor,CELL
"Ald-ruhn, Ramoran Private Quarters",014800B1,AldTruhnVSRamoranSPrivateSQuarters,CELL
"Ald-ruhn, Redoran Council Entrance",014800B2,AldTruhnVSRedoranSCouncilSEntrance,CELL
"Ald-ruhn, Redoran Council Hall",014800B3,AldTruhnVSRedoranSCouncilSHall,CELL
"Ald-ruhn, Sarethi Guard Quarters",014800B4,AldTruhnVSSarethiSGuardSQuarters,CELL
"Ald-ruhn, Sarethi Manor",014800B5,AldTruhnVSSarethiSManor,CELL
"Ald-ruhn, Tauryon's House",014800B6,AldTruhnVSTauryonAsSHouse,CELL
"Ald-ruhn, Temple",014800B7,AldTruhnVSTemple,CELL
"Ald-ruhn, The Rat In The Pot",014800B8,AldTruhnVSTheSRatSInSTheSPot,CELL
"Ald-ruhn, Tiras Sadus: General Merchandise",014800B9,AldTruhnVSTirasSSadusXSGeneralSMerchandise,CELL
"Ald-ruhn, Tuveso Beleth: Smith",014800BA,AldTruhnVSTuvesoSBelethXSSmith,CELL
"Ald-ruhn, Venim Manor Bedrooms",014800BB,AldTruhnVSVenimSManorSBedrooms,CELL
"Ald-ruhn, Venim Manor Entrance",014800BC,AldTruhnVSVenimSManorSEntrance,CELL
"Ald-ruhn, Venim Manor Guard Quarters",014800BD,AldTruhnVSVenimSManorSGuardSQuarters,CELL
"Ald-ruhn, Venim Manor Private Quarters",014800BE,AldTruhnVSVenimSManorSPrivateSQuarters,CELL
"Ald-ruhn, Venim Manor Right Wing",014800BF,AldTruhnVSVenimSManorSRightSWing,CELL
Aleft,014800C0,Aleft,CELL
Alen Ancestral Tomb,014800C1,AlenSAncestralSTomb,CELL
Aleron Loche's House,0002FF45,BravilAleronLochesHouse,CELL
Aleswell Inn,0002F7D6,AleswellInn,CELL
Algot's Basement,0004D860,ICTempleDistrictAlgotsBasement,CELL
Algot's House,0002C193,ICTempleDistrictAlgotsHouse,CELL
Algot's Private Quarters,0004D861,ICTempleDistrictAlgotsHouseUpstairs,CELL
All Things Alchemical,00027D5C,SkingradAllThingsAlchemical,CELL
"Almurbalarammi, Shrine",014800C2,AlmurbalarammiVSShrine,CELL
Alof's Farmhouse,014800C3,AlofAsSFarmhouse,CELL
Alval Uvani's Basement,0004EA5B,LeyawiinAlvalUvanisHouseBasement,CELL
Alval Uvani's House,00030058,LeyawiinAlvalUvanisHouse,CELL
Alval Uvani's House 2nd Floor,0003E0E8,LeyawiinAlvalUvanisHouse2ndFloor,CELL
Amantius Allectus' Basement,0004D858,ICTempleDistrictAmantiusAllectusBasement,CELL
Amantius Allectus' House,0002C18B,ICTempleDistrictAmantiusAllectusHouse,CELL
Amantius Allectus' Private Quarters,0004EDAC,ICTempleDistrictAmantiusAllectusHouseUpstairs,CELL
Ambroise Canne's House,00027D4F,SkingradAmbroiseCannesHouse,CELL
Amelion Tomb,000091B0,AmelionFamilyTomb,CELL
Amiable Fanriene's House,00012309,SENSAmiableFanrienesHouse,CELL
Amiable Fanriene's House Upstairs,00012308,SENSAmiableFanrienesHouseUpstairs,CELL
An Abandoned Shack,014800C4,AnSAbandonedSShack,CELL
Ancestor Moth Crypt,0008FF6C,TempleOfTheAncestorMothCrypt,CELL
"Ancient Shipwreck, Cabin",014800C5,AncientSShipwreckVSCabin,CELL
"Ancient Shipwreck, Lower Level",014800C6,AncientSShipwreckVSLowerSLevel,CELL
"Ancient Shipwreck, Upper Level",014800C7,AncientSShipwreckVSUpperSLevel,CELL
Andalen Ancestral Tomb,014800C8,AndalenSAncestralSTomb,CELL
Andalor Ancestral Tomb,014800C9,AndalorSAncestralSTomb,CELL
Andas Ancestral Tomb,014800CA,AndasSAncestralSTomb,CELL
Andasreth,0148004B,Andasreth,CELL
"Andasreth, Lower Level",014800CB,AndasrethVSLowerSLevel,CELL
"Andasreth, Propylon Chamber",014800CC,AndasrethVSPropylonSChamber,CELL
"Andasreth, Upper Level",014800CD,AndasrethVSUpperSLevel,CELL
Andavel Ancestral Tomb,014800CE,AndavelSAncestralSTomb,CELL
Andragil's House,0002FF47,BravilAndragilHouse,CELL
Andrano Ancestral Tomb,014800CF,AndranoSAncestralSTomb,CELL
Andrethi Ancestral Tomb,014800D0,AndrethiSAncestralSTomb,CELL
Andules Ancestral Tomb,014800D1,AndulesSAncestralSTomb,CELL
Anga,00016640,Anga,CELL
Angelie's Basement,0003C3BA,ICTalosPlazaAngeliesHouseBasement,CELL
Angelie's House,0002C1AD,ICTalosPlazaAngeliesHouse,CELL
Angelie's Private Quarters,0003D9A5,ICTalosPlazaAngeliesHouseUpstairs,CELL
Ansi,014800D2,Ansi,CELL
Anutwyll,0000A1C6,Anutwyll,CELL
Anutwyll Inner Chambers,000345A8,Anutwyll02,CELL
Anvil Castle,000308CC,AnvilCastleGreatHall,CELL
Anvil Castle Caverns,0000C0F1,AnvilCastleNecromancerLair,CELL
Anvil Lighthouse,00035DB0,AnvilLighthouse,CELL
Anvil Lighthouse Cellar,000308BE,AnvilLighthouseBasement,CELL
Anvil Lighthouse Tower,0000965E,AnvilLighthouseUpperRoom,CELL
Anvil Mages Guild,0002D068,AnvilMagesGuild,CELL
Applewatch Farmhouse,00030FDD,ApplewatchInterior,CELL
Aralen Ancestral Tomb,014800D3,AralenSAncestralSTomb,CELL
Aran Ancestral Tomb,014800D4,AranSAncestralSTomb,CELL
Arano Ancestral Tomb,014800D5,AranoSAncestralSTomb,CELL
Arano Plantation,014800D6,AranoSPlantation,CELL
Arborwatch,00000823,ChorrolHouseForSale,CELL
Arborwatch Bedrooms,00026057,ChorrolHouseForSale2floor,CELL
Arborwatch Suite,00026056,ChorrolHouseForSale3floor,CELL
Arch-Mage's Lobby,00049CF9,ICArcaneUniversityArchMagesTowerLobby,CELL
Arch-Mage's Quarters,00049CF8,ICArcaneUniversityArchMagesQuarters,CELL
Arch-Mage's Tower Council Chambers,0002C17A,ICArcaneUniversityArchMagesTowerCouncil,CELL
Areldil's Basement,0003C3BB,ICTalosPlazaAreldilsHouseBasement,CELL
Areldil's House,0002C19B,ICTalosPlazaAreldilsHouse,CELL
Areldil's Private Quarters,0003AD1C,ICTalosPlazaAreldilsHouseUpstairs,CELL
Arena,0001C60F,ChorrolArena,CELL
Arena,00091B46,ArenaMatchCell,CELL
Arena Bloodworks,00037868,ICArenaBloodworks,CELL
Arenim Ancestral Tomb,014800D7,ArenimSAncestralSTomb,CELL
Arethan Ancestral Tomb,014800D8,ArethanSAncestralSTomb,CELL
"Arkngthand, Cells of Hollow Hand",014800D9,ArkngthandVSCellsSofSHollowSHand,CELL
"Arkngthand, Deep Ore Passage",014800DA,ArkngthandVSDeepSOreSPassage,CELL
"Arkngthand, Hall of Centrifuge",014800DB,ArkngthandVSHallSofSCentrifuge,CELL
"Arkngthand, Heaven's Gallery",014800DC,ArkngthandVSHeavenAsSGallery,CELL
"Arkngthand, Land's Blood Gallery",014800DD,ArkngthandVSLandAsSBloodSGallery,CELL
"Arkngthand, Weepingbell Hall",014800DE,ArkngthandVSWeepingbellSHall,CELL
Arkngthunch-Sturdumz,014800DF,ArkngthunchTSturdumz,CELL
Arkved's Death Quarters,000988A9,ArkvedsTower07,CELL
Arkved's Hall of Changes,000988BC,ArkvedsTower04,CELL
Arkved's Lost Halls,000988BD,ArkvedsTower03,CELL
Arkved's Rending Halls,000988BB,ArkvedsTower06,CELL
Arkved's Retreat,000988AA,ArkvedsTower05,CELL
Arkved's Tower,0001EB9C,ArkvedsTower01,CELL
Arkved's Void,000988BE,ArkvedsTower02,CELL
Armand Christophe's House,00035295,ICWaterfrontArmandChristopheHouse,CELL
Armor Warehouse,000237DD,WarehouseArmor,CELL
Armor Warehouse,00065445,WarehouseMagicArmor,CELL
Armory,0002C17B,ICImperialLegionHQArmory,CELL
Arnora's House,000302E4,BrumaArnorasHouse,CELL
Arpenia,0002C56F,Arpenia,CELL
"Arrow, Cabin",014800E0,ArrowVSCabin,CELL
"Arrow, Lower Level",014800E1,ArrowVSLowerSLevel,CELL
"Arrow, Upper Level",014800E2,ArrowVSUpperSLevel,CELL
Arrowshaft Cavern,000149A3,ArrowshaftCavern,CELL
Arrowshaft Cavern Subtarrane,000A7946,ArrowshaftCavern03,CELL
Arvel Manor,014800E3,ArvelSManor,CELL
"Arvel Manor, Slave Shack",014800E4,ArvelSManorVSSlaveSShack,CELL
"Arvel Manor, Slavemaster's Shack",014800E5,ArvelSManorVSSlavemasterAsSShack,CELL
"Arvel Manor, Storage Shack",014800E6,ArvelSManorVSStorageSShack,CELL
Arvel Plantation,0148002E,ArvelSPlantation,CELL
Arvena Thelas' Basement,0004CE5C,AnvilArvenaThelasBasement,CELL
Arvena Thelas' House,000308C3,AnvilArvenaThelasHouse,CELL
Arvin Dalvilu's House,0009133F,BleakersWayArvinDalvilusHouse,CELL
Aryon Ancestral Tomb,014800E7,AryonSAncestralSTomb,CELL
Arys Ancestral Tomb,014800E8,ArysSAncestralSTomb,CELL
Asha-Ahhe Egg Mine,014800E9,AshaTAhheSEggSMine,CELL
Ashalmawia,0148004D,Ashalmawia,CELL
"Ashalmawia, Shrine",014800EA,AshalmawiaVSShrine,CELL
"Ashalmawia, Shrine, Sunken Vaults",014800EB,AshalmawiaVSShrineVSSunkenSVaults,CELL
"Ashalmimilkala, Shrine",014800EC,AshalmimilkalaVSShrine,CELL
"Ashamanu Camp, Kausha's Yurt",014800ED,AshamanuSCampVSKaushaAsSYurt,CELL
Ashanammu,014800EE,Ashanammu,CELL
Ashimanu Egg Mine,014800EF,AshimanuSEggSMine,CELL
"Ashimanu Egg Mine, Queen's Lair",014800F0,AshimanuSEggSMineVSQueenAsSLair,CELL
Ashinabi,014800F1,Ashinabi,CELL
"Ashinabi, Smuggler Den",014800F2,AshinabiVSSmugglerSDen,CELL
Ashirbadon,014800F4,Ashirbadon,CELL
Ashir-Dan,014800F3,AshirTDan,CELL
Ashmelech,014800F5,Ashmelech,CELL
"Ashunartes, Shrine",014800F6,AshunartesVSShrine,CELL
Ashurnabitashpi,01480043,Ashurnabitashpi,CELL
Ashurnibibi,01480048,Ashurnibibi,CELL
"Ashurnibibi, Shrine",014800F7,AshurnibibiVSShrine,CELL
"Assalkushalit, Shrine",014800F8,AssalkushalitVSShrine,CELL
"Assarnatamat, Shrine",014800F9,AssarnatamatVSShrine,CELL
Assarnud,014800FA,Assarnud,CELL
Assemanu,014800FB,Assemanu,CELL
"Assemanu, Shrine",014800FC,AssemanuVSShrine,CELL
"Assernerairan, Shrine",014800FD,AssernerairanVSShrine,CELL
Assu,014800FE,Assu,CELL
Assumanu,014800FF,Assumanu,CELL
"Assurdirapal, Inner Shrine",01480100,AssurdirapalVSInnerSShrine,CELL
"Assurdirapal, Shrine",01480101,AssurdirapalVSShrine,CELL
Assurnabitashpi,01480102,Assurnabitashpi,CELL
"Assurnabitashpi, Shrine",01480103,AssurnabitashpiVSShrine,CELL
Astante's Home,0003C423,BrindleHome02,CELL
Astinia Atius' Basement,0003C3B9,ICTalosPlazaAstiniaAtiusHouseBasement,CELL
Astinia Atius' House,0002C1A1,ICTalosPlazaAstiniaAtiusHouse,CELL
Astinia Atius' Private Quarters,00037D08,ICTalosPlazaAstiniaAtiusHouseUpstairs,CELL
Atatar,0002C5C2,Atatar,CELL
Atatar Haelia Anga,00002908,Atatar03,CELL
Atatar Haelia Dagon,00002909,Atatar02,CELL
Atatar Loria,00002907,Atatar04,CELL
Baenlin's Basement,0001B86C,BrumaBaenlinsBasement,CELL
Baenlin's House,0002D07A,BrumaBaenlinsHouse,CELL
Bal Fell,01480017,BalSFell,CELL
"Bal Fell, East Wing",01480104,BalSFellVSEastSWing,CELL
"Bal Fell, Inner Shrine",01480105,BalSFellVSInnerSShrine,CELL
"Bal Fell, Outer Shrine",01480106,BalSFellVSOuterSShrine,CELL
"Bal Fell, West Wing",01480107,BalSFellVSWestSWing,CELL
Bal Isra,01480044,BalSIsra,CELL
Bal Ur,0148001D,BalSUr,CELL
"Bal Ur, Shrine",01480108,BalSUrVSShrine,CELL
"Bal Ur, Underground",01480109,BalSUrVSUnderground,CELL
Balmora,0148003E,Balmora,CELL
"Balmora, Astius Hanotepelus' House",0148010A,BalmoraVSAstiusSHanotepelusASHouse,CELL
"Balmora, Balyn Omarel's House",0148010B,BalmoraVSBalynSOmarelAsSHouse,CELL
"Balmora, Caius Cosades' House",0148010C,BalmoraVSCaiusSCosadesASHouse,CELL
"Balmora, Clagius Clanler: Outfitter",0148010D,BalmoraVSClagiusSClanlerXSOutfitter,CELL
"Balmora, Council Club",0148010E,BalmoraVSCouncilSClub,CELL
"Balmora, Dorisa Darvel: Bookseller",0148010F,BalmoraVSDorisaSDarvelXSBookseller,CELL
"Balmora, Dralasa Nithryon: Pawnbroker",01480110,BalmoraVSDralasaSNithryonXSPawnbroker,CELL
"Balmora, Dralcea Arethi's House",01480111,BalmoraVSDralceaSArethiAsSHouse,CELL
"Balmora, Dralosa Athren's House",01480112,BalmoraVSDralosaSAthrenAsSHouse,CELL
"Balmora, Drarayne Thelas' House",01480113,BalmoraVSDrarayneSThelasASHouse,CELL
"Balmora, Drarayne Thelas' Storage",01480114,BalmoraVSDrarayneSThelasASStorage,CELL
"Balmora, Dura gra-Bol's House",01480115,BalmoraVSDuraSgraTBolAsSHouse,CELL
"Balmora, Eastern Guard Tower",01480116,BalmoraVSEasternSGuardSTower,CELL
"Balmora, Eight Plates",01480117,BalmoraVSEightSPlates,CELL
"Balmora, Fast Eddie's House",01480118,BalmoraVSFastSEddieAsSHouse,CELL
"Balmora, Guild of Fighters",01480119,BalmoraVSGuildSofSFighters,CELL
"Balmora, Guild of Mages",0148011A,BalmoraVSGuildSofSMages,CELL
"Balmora, Hecerinde's House",0148011B,BalmoraVSHecerindeAsSHouse,CELL
"Balmora, Hlaalo Manor",0148011C,BalmoraVSHlaaloSManor,CELL
"Balmora, Hlaalu Council Manor",0148011D,BalmoraVSHlaaluSCouncilSManor,CELL
"Balmora, Itan's House",0148011E,BalmoraVSItanAsSHouse,CELL
"Balmora, Karlirah's House",0148011F,BalmoraVSKarlirahAsSHouse,CELL
"Balmora, Lucky Lockup",01480120,BalmoraVSLuckySLockup,CELL
"Balmora, Meldor: Armorer",01480121,BalmoraVSMeldorXSArmorer,CELL
"Balmora, Milie Hastien: Fine Clothier",01480122,BalmoraVSMilieSHastienXSFineSClothier,CELL
"Balmora, Morag Tong Guild",01480123,BalmoraVSMoragSTongSGuild,CELL
"Balmora, Nalcarya of White Haven: Fine Alchemist",01480124,BalmoraVSNalcaryaSofSWhiteSHavenXSFineSAlchemist,CELL
"Balmora, Nerano Manor",01480125,BalmoraVSNeranoSManor,CELL
"Balmora, Nine Toes' House",01480126,BalmoraVSNineSToesASHouse,CELL
"Balmora, Rararyn Radarys' House",01480128,BalmoraVSRaraynSRadarysASHouse,CELL
"Balmora, Ra'Virr: Trader",01480127,BalmoraVSRaAVirrXSTrader,CELL
"Balmora, Rithleen's House",01480129,BalmoraVSRithleenAsSHouse,CELL
"Balmora, South Wall Cornerclub",0148012A,BalmoraVSSouthSWallSCornerclub,CELL
"Balmora, Temple",0148012B,BalmoraVSTemple,CELL
"Balmora, The Razor Hole",0148012C,BalmoraVSTheSRazorSHole,CELL
"Balmora, Tsiya's House",0148012D,BalmoraVSTsiyaAsSHouse,CELL
"Balmora, Tyermaillin's House",0148012E,BalmoraVSTyermaillinAsSHouse,CELL
"Balmora, Tyravel Manor",0148012F,BalmoraVSTyravelSManor,CELL
"Balmora, Vorar Helas' House",01480130,BalmoraVSVorarSHelasASHouse,CELL
"Balmora, Vori's House",01480131,BalmoraVSVoriAsSHouse,CELL
"Balmora, Western Guard Tower North",01480132,BalmoraVSWesternSGuardSTowerSNorth,CELL
"Balmora, Western Guard Tower South",01480133,BalmoraVSWesternSGuardSTowerSSouth,CELL
Balur's Farmhouse,01480134,BalurAsSFarmhouse,CELL
"Bamz-Amschend, Hall of Wails",014804C0,BamzTAmschendVSHallSofSWails,CELL
"Bamz-Amschend, Hall of Winds",014804C1,BamzTAmschendVSHallSofSWinds,CELL
"Bamz-Amschend, Hearthfire Hall",014804C2,BamzTAmschendVSHearthfireSHall,CELL
"Bamz-Amschend, King's Walk",014804C3,BamzTAmschendVSKingAsSWalk,CELL
"Bamz-Amschend, Passage of the Walker",014804C4,BamzTAmschendVSPassageSofStheSWalker,CELL
"Bamz-Amschend, Passage of Whispers",014804C5,BamzTAmschendVSPassageSofSWhispers,CELL
"Bamz-Amschend, Radac's Forge",014804C6,BamzTAmschendVSRadacAsSForge,CELL
"Bamz-Amschend, Skybreak Gallery",014804C7,BamzTAmschendVSSkybreakSGallery,CELL
Band Egg Mine,01480135,BandSEggSMine,CELL
Baram Ancestral Tomb,01480136,BaramSAncestralSTomb,CELL
Barren Cave,00014993,BarrenCave,CELL
Barren Mine,00015C2C,BarrenMine,CELL
